"";"alpha";"beta";"psi";"kappa"
"129";2786,84583659535;2482,2523168538;2647,04626220569;1815,07039356275
"130";0,500107165821285;0,532190876237479;NA;1,77715956536244
"131";0,500107165821285;0,781309154040112;NA;1,1462951497605
"132";0,500107165821285;3,2395672057937;NA;3,08141996017877
"133";2224,87928481632;2533,21938890345;2872,5445318938;2872,57162244071
"134";2398,12946822868;2458,05602194905;2260,46906442939;2597,522868874
"135";0,500107165821285;2,70417671858996;NA;0,612840814543493
"136";2641,34968918901;2610,21396737895;2871,24133405242;2413,68418791334
"137";2634,04908309108;2343,13354934095;2774,71587965167;2212,56871557208
"138";3051,94266616042;2132,29746447766;2435,89041967456;2483,21285103346
"139";2834,66858722074;2781,50620113908;3192,20936112527;2791,90659003417
"140";3049,06123967901;2566,31477700718;2771,40508061398;2326,56309816334
"141";2543,52612417857;2411,2422905891;2878,57772377053;2353,60521546603
"142";0,500107165821285;0,853692340154935;NA;2,30460145698591
"143";3014,92167915888;2221,54913251084;2778,04128470885;2351,17881564815
"144";0,500107165821285;0,966953772390371;NA;2,54479331403455
"145";2786,30328800612;2221,7988285725;2862,84501670453;2815,0073023994
"146";0,500107165821285;1,06910834354484;NA;1,11918809906923
"147";9,76460391604216;1,42559527909493;NA;5,09226727377457
"148";0,500107165821285;0,745778377379958;NA;0,862368930946993
"149";0,500107165821285;1,47524627938032;NA;0,864398741885557
"150";2841,32481188073;2308,87500997886;2849,01394453185;2602,57675800711
"151";2764,66473175243;2589,42648401348;2723,28894343226;2636,12311162556
"152";2984,08647926743;2947,90620195811;2969,08389187756;2854,81275494396
"153";0,500107165821285;0,592608753745703;NA;0,770378775455368
"154";0,534874229620741;2,51375882804969;NA;1,20655961648749
"155";2951,37275577701;2368,99387294609;2825,82474151823;2252,7209541458
"156";0,629548456311196;1,05836383828525;NA;1,25982542810004
"157";0,500107165821285;1,80061821682628;NA;0,73230485268928
"158";2638,92009082797;2806,30957500162;2733,80491836125;2876,49346791209
"159";3019,44631313665;2127,5854845886;2767,70846169503;2608,31045834995
"160";NA;3,04385090989878;NA;2,47385564533828
"161";0,500107165821285;1,32569203735738;NA;1,13418397682756
"162";NA;2,5189896181868;NA;1,69233079012569
"163";2945,7722966707;2558,00684817174;2898,42966513469;2685,47736854268
"164";2998,99774099474;2251,02598109987;2581,80982509614;2369,48627037141
"165";0,500107165821285;0,726458324913809;NA;2,92443017761875
"166";3184,94602706433;2523,19488779142;2948,79130703182;2638,75560029151
"167";2590,93685958766;2576,02375815117;2654,61052444705;2923,27558965361
"168";0,500107165821285;0,845732776828557;NA;4,18705539684639
"169";3061,86147416141;2124,1857290566;2737,68705308037;2275,5994595811
"170";2826,74501869532;2365,72035297157;2903,29906523827;2104,44174285424
"171";2879,49294512732;2254,24953991262;2984,21970994787;2231,69779309617
"172";0,500107165821285;2,57172083690657;NA;3,44786214513628
"173";2826,3744071281;2568,53959864187;2520,88797057106;3026,77549651504
"174";0,528275005391005;1,2450910232337;NA;3,02792427140566
"175";2786,81996208538;2231,74242209865;2612,20900531321;2233,32558522439
"176";2659,60187120271;2094,76119819187;2609,99009288756;2367,80105140238
"177";0,500107165821285;10,1565044139684;NA;2,13852486468891
"178";0,500107165821285;1,15473112999033;NA;0,994940561436017
"179";0,500107165821285;2,31392430974048;NA;0,780170629693179
"180";2387,45861692501;2666,71021338551;2331,36423033061;2493,90544417571
"181";1,01705137253187;1,39147050759074;NA;2,88445661661131
"182";0,500107165821285;1,96202747502703;NA;1,77539683338746
"183";0,667254354302885;4,6424806222465;NA;1,60377999389857
"184";0,500107165821285;0,691654346721727;NA;1,06671377844096
"185";0,523298847058693;5,32679919301253;NA;5,35890360680765
"186";0,500107165821285;4,7910397519106;NA;2,27545499073748
"187";0,506745630863183;2,93848379509054;NA;0,697035341601012
"188";2713,45890231432;2589,55586210233;2498,94387661062;2620,00658769649
"189";0,500107165821285;2,58116633872472;NA;3,00991322962655
"190";2,61606135219276;1,39254969593231;NA;1,74203895732186
"191";0,500107165821285;7,36443340260645;NA;1,37888394207424
"192";2949,89343554118;1935,00713937284;2456,20760902159;2177,16245109883
"193";0,500107165821285;0,884542957017164;NA;0,673143311966615
"194";3357,22212241405;2596,51515899717;3132,58831779157;2514,54040671787
"195";NA;0,599642228877755;NA;2,46283041170609
