"";"alpha";"beta";"lambda";"lp"
"321";3149,13365923116;2044,28573231203;2132,59658738264;1973,94328796659
"322";3035,22205393756;2240,19571545892;2730,16042769507;2297,34390681538
"323";3140,57807968137;3116,11507535358;2889,69501393828;2743,88249897635
"324";2654,2471877659;2477,48708134877;2319,62601697844;2310,18417770601
"325";3183,80364295149;2590,13659155988;2299,64466694454;2470,85470223451
"326";3089,82174449062;2912,69067810366;2570,53169189891;2644,91223645734
"327";3282,31314120403;2706,54431542416;2928,05962950998;2472,32705060594
"328";2848,3372779289;2076,57339390181;2486,20792166714;2121,59024354718
"329";3271,11189031669;3638,51370619363;3030,93198549347;2704,5406032745
"330";2676,7886270545;2324,18775436092;2559,13718268369;2336,35434076553
"331";3466,82110304134;3153,94760035763;2829,26277880997;2608,20605773459
"332";3268,93872252289;3048,37479231469;2933,5289299241;2628,50245477784
"333";2899,21529990952;2318,95774520562;2094,63644274873;2290,72081490928
"334";2974,99560581269;2312,00828237439;2310,99165580511;2320,01837814888
"335";3608,56717005124;3234,71401639684;3051,48878637541;2797,00999462363
"336";2491,59820297305;2044,52708060813;2098,04743049369;2492,12371145026
"337";3177,44749382237;2920,67270822165;2974,57366625333;2335,75806160338
"338";3030,85141478116;3035,94954486772;3196,89552508251;2662,73242714328
"339";2754,27181487536;2569,81077758807;2234,89141199718;1785,72673593648
"340";3603,8446997536;2722,52997881679;2744,50433230879;2087,57386438178
"341";2985,60248112271;2763,48470757834;2763,61830526993;2746,47876614764
"342";3186,5197141012;2868,89788452727;3068,50677370521;2175,75075906198
"343";3301,90534338727;2606,20528896222;2475,70945836883;2703,16945135165
"344";2943,63779414328;2581,80927972757;2639,57042972946;2207,26122334011
"345";3375,43084213744;3079,34876692608;2958,71287801193;2009,86887280002
"346";3678,81255281831;2950,17967790476;2997,60684602301;2801,9740221644
"347";3218,95552069101;3198,7895323443;3021,99073434362;2827,76628576634
"348";3174,9669850234;3052,27466437386;2916,87002828344;2546,66407048868
"349";2900,5380869318;3266,16266594098;2648,07777652544;2925,41632217768
"350";3261,31425835136;2757,6824274012;2400,34912709362;2463,84453005237
"351";3716,92317193223;3096,23600352427;3304,2083521049;2656,27590748525
