;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
236;-2,465911142;0,655451354;23,29555709;1;;;;;
237;-3,086683828;0,77769075;54,3341914;1;;;;;
238;-1,572954284;0,439959432;-21,35228581;1;;;;;
239;-2,826821509;0,664855465;41,34107545;1;;;;;
240;-2,295779941;0,459665034;14,78899707;1;;;;;
241;-2,824646881;0,815293056;41,23234406;1;;;;;
242;-2,830858816;0,633011103;41,5429408;1;;;;;
243;-1,916441466;0,444803693;-4,17792669;1;;;;;
244;-1,379572449;0,358002443;-31,02137757;1;;;;;
245;-2,246528241;0,735598091;12,32641203;1;;;;;
246;-1,810535778;0,530007892;-9,473211105;1;;;;;
247;-1,833190371;0,378646101;-8,340481453;1;;;;;
248;-2,686000349;0,723763978;34,30001744;1;;;;;
249;-2,209067837;0,6704087;10,45339184;1;;;;;
250;-1,531933934;0,394384043;-23,40330331;1;;;;;
251;-1,346170177;0,711569878;-32,69149117;1;;;;;
252;-2,410133969;0,596821872;20,50669843;1;;;;;
253;-1,788277472;0,720475339;-10,5861264;1;;;;;
254;-3,00067678;0,577817357;50,033839;1;;;;;
255;-2,696020937;0,604691226;34,80104687;1;;;;;
256;-1,24051832;0,321535992;-37,97408398;0;;;;;
257;-2,644702977;0,571990702;32,23514886;1;;;;;
258;-2,596200474;0,675320232;29,81002368;1;;;;;
259;-3,358733831;0,921567737;67,93669156;1;;;;;
260;-2,679189395;0,534652947;33,95946975;1;;;;;
261;-1,641979236;0,563652642;-17,90103818;1;;;;;
262;-2,311150748;0,853484858;15,55753738;1;;;;;
263;-2,104351342;0,592674564;5,217567103;1;;;;;
264;-1,165170446;0,560638089;-41,74147771;1;;;;;
265;-2,825024559;0,858173684;41,25122795;1;;;;;
266;-2,352539575;0,708711447;17,62697877;1;;;;;
267;-1,833737122;0,46787823;-8,313143901;1;;;;;
268;-2,430235982;0,577613706;21,51179911;1;;;;;
269;-2,64416863;1,182226648;32,2084315;1;;;;;
270;-1,821604076;0,434728774;-8,919796201;1;;;;;
271;-2,010136202;0,601154022;0,506810103;1;;;;;
272;-2,017186355;0,4895463;0,859317755;1;;;;;
273;-2,22607754;0,87153847;11,30387701;1;;;;;
274;-1,755158275;0,66283449;-12,24208625;1;;;;;
275;-2,810019417;0,665850149;40,50097085;1;;;;;
276;-2,671787013;0,838696437;33,58935067;1;;;;;
277;-1,814110933;0,410844157;-9,294453347;1;;;;;
278;-1,875410966;0,474805889;-6,229451689;1;;;;;
279;-2,999850013;0,693520043;49,99250064;1;;;;;
280;-1,398761903;0,518972653;-30,06190484;1;;;;;
281;-2,735575845;0,601531164;36,77879224;1;;;;;
282;-2,695288236;0,661044769;34,7644118;1;;;;;
