;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
252;10,11321685;2,872004664;1,132168468;1;;;;;
253;6,625936954;2,259188063;-33,74063046;1;;;;;
254;8,088978622;2,212134893;-19,11021378;1;;;;;
255;8,567330774;2,470716509;-14,32669226;1;;;;;
256;5,494989711;1,640333851;-45,05010289;0;;;;;
257;7,528549327;1,964867728;-24,71450673;1;;;;;
258;10,63375873;2,638962049;6,337587264;1;;;;;
259;7,044772421;2,222207657;-29,55227579;1;;;;;
260;11,59472828;2,935662091;15,94728277;1;;;;;
261;13,80367349;3,743019408;38,03673489;1;;;;;
262;8,376768082;2,492817539;-16,23231918;1;;;;;
263;7,771779151;2,061491331;-22,28220849;1;;;;;
264;10,92431746;3,077488356;9,24317462;1;;;;;
265;8,949916797;2,789514399;-10,50083203;1;;;;;
266;10,54579978;3,026729602;5,457997764;1;;;;;
267;10,09867687;2,954869397;0,98676874;1;;;;;
268;7,57043537;2,251303827;-24,2956463;1;;;;;
269;7,957639142;2,218276783;-20,42360858;1;;;;;
270;11,91522819;3,429888514;19,15228185;1;;;;;
271;7,356669314;2,36203843;-26,43330686;1;;;;;
272;5,112029539;1,456718305;-48,87970461;0;;;;;
273;15,67246997;3,942921958;56,72469972;1;;;;;
274;8,539386533;2,569897242;-14,60613467;1;;;;;
275;11,295332;2,749629458;12,95332002;1;;;;;
276;14,39293573;3,797789313;43,92935734;1;;;;;
277;9,162715237;2,56069493;-8,372847625;1;;;;;
278;9,025603229;2,361652868;-9,743967708;1;;;;;
279;11,09136611;2,978712195;10,91366114;1;;;;;
280;8,694617719;2,450697431;-13,05382281;1;;;;;
281;7,727878789;1,969641466;-22,72121211;1;;;;;
282;9,594735038;2,875448219;-4,052649624;1;;;;;
283;9,766497035;2,564739183;-2,335029654;1;;;;;
284;8,122012228;2,056414968;-18,77987772;1;;;;;
285;11,48139918;3,259389526;14,81399181;1;;;;;
286;7,372696598;1,865748707;-26,27303402;1;;;;;
287;10,98040546;3,240808692;9,804054617;1;;;;;
288;10,02247459;2,771211982;0,224745936;1;;;;;
289;9,181751993;2,378994222;-8,182480072;1;;;;;
290;7,348949047;2,197456249;-26,51050953;1;;;;;
291;4,879086342;1,144318546;-51,20913658;0;;;;;
292;8,17191343;2,511627049;-18,2808657;1;;;;;
293;7,375795468;2,198815679;-26,24204532;1;;;;;
294;11,07027702;3,234080368;10,70277017;1;;;;;
295;9,812555911;2,895030556;-1,874440894;1;;;;;
296;11,50913887;3,408218766;15,09138874;1;;;;;
297;8,676896064;2,347917873;-13,23103936;1;;;;;
298;15,18630617;3,878318912;51,86306165;1;;;;;
299;9,369994103;2,607924885;-6,300058973;1;;;;;
300;8,167781386;2,353636777;-18,32218614;1;;;;;
301;8,018245194;2,3604877;-19,81754806;1;;;;;
302;7,352878032;2,004471441;-26,47121968;1;;;;;
303;7,097882388;2,004173555;-29,02117612;1;;;;;
304;6,709512582;1,866625106;-32,90487418;1;;;;;
305;8,999790375;2,876235808;-10,00209625;1;;;;;
306;8,862342998;2,869232329;-11,37657002;1;;;;;
307;6,274115084;1,542300557;-37,25884916;1;;;;;
308;6,97905965;2,193469791;-30,2094035;1;;;;;
309;12,92255631;3,329403583;29,22556309;1;;;;;
310;12,57163216;3,350740517;25,71632161;1;;;;;
311;6,927991658;2,225579558;-30,72008342;1;;;;;
312;14,24584436;3,851063232;42,45844362;1;;;;;
313;8,609429666;2,526975273;-13,90570334;1;;;;;
314;8,375054268;2,23985576;-16,24945732;1;;;;;
315;13,40922768;3,84706222;34,09227684;1;;;;;
316;6,999442671;1,907361919;-30,00557329;1;;;;;
317;5,933031324;1,79045782;-40,66968676;1;;;;;
318;5,613806614;1,425851695;-43,86193386;0;;;;;
319;8,232868192;2,19431527;-17,67131808;1;;;;;
320;8,667117041;2,328857205;-13,32882959;1;;;;;
321;8,946515317;2,7454395;-10,53484683;1;;;;;
322;11,14642592;3,239035202;11,46425916;1;;;;;
323;10,9393574;2,8908665;9,393574015;1;;;;;
324;12,65958193;3,426297499;26,59581933;1;;;;;
325;12,34747654;3,686216283;23,47476536;1;;;;;
326;5,663500148;1,765349179;-43,36499852;0;;;;;
327;5,874915867;1,642979974;-41,25084133;1;;;;;
328;6,273066943;1,631000515;-37,26933057;1;;;;;
329;13,7042284;3,925315056;37,04228397;1;;;;;
330;6,769277904;2,068942257;-32,30722096;1;;;;;
331;12,52706162;3,38883513;25,27061615;1;;;;;
332;6,10224633;1,833007124;-38,9775367;1;;;;;
333;8,396742052;2,655095807;-16,03257948;1;;;;;
334;13,23037222;3,647542102;32,30372218;1;;;;;
335;8,556418826;2,350626093;-14,43581174;1;;;;;
336;7,846438449;2,579884042;-21,53561551;1;;;;;
337;12,36725375;3,700586772;23,67253753;1;;;;;
338;8,960352486;2,587171923;-10,39647514;1;;;;;
339;5,241767225;1,585953434;-47,58232775;0;;;;;
340;12,93478346;3,657006184;29,3478346;1;;;;;
341;10,30399605;2,799371419;3,039960528;1;;;;;
342;7,773595959;2,20006855;-22,26404041;1;;;;;
343;7,631730983;2,314659867;-23,68269017;1;;;;;
344;13,13516055;3,579957673;31,35160554;1;;;;;
345;6,592791761;2,050587531;-34,07208239;1;;;;;
346;6,499918331;1,831432389;-35,00081669;1;;;;;
347;5,933983505;1,596535406;-40,66016495;0;;;;;
348;8,814770492;2,699431179;-11,85229508;1;;;;;
349;7,929312994;2,44841355;-20,70687006;1;;;;;
350;7,156333885;2,233009247;-28,43666115;1;;;;;
351;6,687969415;2,005308597;-33,12030585;1;;;;;
352;9,15168951;2,689971131;-8,483104902;1;;;;;
353;5,783488964;1,789428924;-42,16511036;1;;;;;
354;8,442384529;2,440138977;-15,57615471;1;;;;;
355;11,8018817;3,515231569;18,01881696;1;;;;;
356;10,80434771;3,145472759;8,043477147;1;;;;;
357;10,2435132;2,848295422;2,435132009;1;;;;;
358;7,442524807;1,919225662;-25,57475193;1;;;;;
359;13,69154519;3,60409485;36,91545187;1;;;;;
360;5,680350515;1,514257536;-43,19649485;0;;;;;
361;9,289215786;2,584239953;-7,107842143;1;;;;;
362;8,065461839;2,448994511;-19,34538161;1;;;;;
363;4,947684657;1,396235611;-50,52315343;0;;;;;
364;7,436684231;2,274226245;-25,63315769;1;;;;;
365;15,65788113;4,426636812;56,57881128;1;;;;;
366;8,716690993;2,553985666;-12,83309007;1;;;;;
367;8,99968717;2,771802635;-10,0031283;1;;;;;
368;7,736129954;1,989581058;-22,63870046;1;;;;;
369;5,670022527;1,442369421;-43,29977473;0;;;;;
370;11,86845848;3,667053478;18,68458483;1;;;;;
371;8,359608406;2,337251107;-16,40391594;1;;;;;
372;6,717976941;1,970409086;-32,82023059;1;;;;;
373;9,092560253;2,567841639;-9,074397469;1;;;;;
374;7,47076628;1,93886296;-25,2923372;1;;;;;
375;7,690167256;2,55382345;-23,09832744;1;;;;;
376;10,29003729;2,910577545;2,90037289;1;;;;;
377;8,324138877;2,309466728;-16,75861123;1;;;;;
378;9,273694588;2,774915244;-7,263054117;1;;;;;
379;8,140819661;2,393755497;-18,59180339;1;;;;;
380;11,39469802;3,051706464;13,94698016;1;;;;;
381;9,293224798;2,571049317;-7,06775202;1;;;;;
382;11,48816521;3,463346795;14,88165211;1;;;;;
383;10,30554156;2,951972844;3,055415649;1;;;;;
384;8,179262956;2,346098062;-18,20737044;1;;;;;
385;9,19630561;2,65227731;-8,036943903;1;;;;;
386;7,054783847;2,079947021;-29,45216153;1;;;;;
387;8,113488188;2,343037764;-18,86511812;1;;;;;
388;7,066559125;1,974349053;-29,33440875;1;;;;;
389;7,007899136;2,521626765;-29,92100864;1;;;;;
390;7,3627521;2,070022477;-26,372479;1;;;;;
391;10,28839368;2,979405877;2,883936826;1;;;;;
392;14,50182257;3,668041812;45,01822571;1;;;;;
393;8,106470909;2,190097146;-18,93529091;1;;;;;
394;18,12618441;4,460005646;81,2618441;0;;;;;
395;11,2371349;3,132636261;12,37134898;1;;;;;
396;11,25606325;3,271964007;12,5606325;1;;;;;
397;8,510201292;2,562884776;-14,89798708;1;;;;;
398;8,853874707;2,592305804;-11,46125293;1;;;;;
399;8,430596775;2,522521228;-15,69403225;1;;;;;
400;8,923988489;2,388452399;-10,76011511;1;;;;;
401;6,705877545;2,136013781;-32,94122455;1;;;;;
402;6,598324513;1,517395279;-34,01675487;1;;;;;
403;12,7394946;3,713453205;27,39494601;1;;;;;
404;7,897536508;2,472359691;-21,02463492;1;;;;;
405;10,11745046;2,904850088;1,174504593;1;;;;;
406;5,835849546;1,677193718;-41,64150454;0;;;;;
407;5,879800514;1,965551498;-41,20199486;1;;;;;
408;5,552142611;1,76867309;-44,47857389;0;;;;;
409;9,727635911;3,008939541;-2,723640889;1;;;;;
410;10,25953514;2,678131775;2,595351436;1;;;;;
411;7,388996748;2,222850198;-26,11003252;1;;;;;
412;8,914073159;2,601045968;-10,85926841;1;;;;;
413;10,94408277;2,951364589;9,440827727;1;;;;;
414;10,93803091;2,826617715;9,380309133;1;;;;;
415;10,44132951;3,00739959;4,413295119;1;;;;;
416;6,299943774;1,933796728;-37,00056226;1;;;;;
417;8,003062575;2,15081249;-19,96937425;1;;;;;
418;8,446226938;2,481030105;-15,53773062;1;;;;;
419;6,716043047;1,906955615;-32,83956953;1;;;;;
420;6,774720843;2,055107369;-32,25279157;1;;;;;
421;8,956201339;2,575449827;-10,43798661;1;;;;;
